,phone_Name,Price,offer,Phone_Rating
0,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)","₹9,499",26% off,4.3
1,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)","₹9,499",26% off,4.3
2,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)","₹9,499",26% off,4.3
3,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹14,999",11% off,4.3
4,"SAMSUNG Galaxy M12 (Black, 64 GB)","₹10,584",17% off,4.2
5,"SAMSUNG Galaxy F22 (Denim Black, 128 GB)","₹14,999",11% off,4.3
6,"SAMSUNG Galaxy M12 (Black, 128 GB)","₹12,703",18% off,4.2
7,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹12,999",13% off,4.3
8,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)","₹12,999",13% off,4.3
9,"SAMSUNG Galaxy M12 (Blue, 128 GB)","₹12,523",19% off,4.2
10,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹20,999",12% off,4.1
11,"SAMSUNG Galaxy M12 (Blue, 64 GB)","₹10,474",18% off,4.2
12,"SAMSUNG Galaxy F42 5G (Matte Black, 128 GB)","₹22,999",11% off,4.1
13,"SAMSUNG Galaxy F42 5G (Matte Aqua, 128 GB)","₹22,999",11% off,4.1
14,"SAMSUNG Galaxy F23 5G (Forest Green, 128 GB)","₹16,999",29% off,4.2
15,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)","₹16,999",29% off,4.2
16,"SAMSUNG Galaxy M12 (White, 64 GB)","₹10,482",18% off,4.1
17,"SAMSUNG Galaxy M12 (White, 128 GB)","₹12,774",17% off,4.2
18,"SAMSUNG Galaxy A22 5G (Gray, 128 GB)","₹18,899",5% off,4.2
19,"SAMSUNG Galaxy M32 5G (Sky Blue, 128 GB)","₹20,350",9% off,4.2
20,"SAMSUNG M21 2021 Edition (Charcoal Black, 64 GB)","₹12,848",1% off,4.2
21,"SAMSUNG M32 5G (Sky blue, 128 GB)","₹18,089",4% off,4.3
22,"SAMSUNG M32 5G (Slate Black, 128 GB)","₹17,857",10% off,4.3
23,"SAMSUNG Galaxy A52 (Awesome Blue, 128 GB)","₹24,500",5% off,5
